electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
8,6,7,31,39,28,15,14
13,9,17,33,56,31,30,9
15,8,6,29,40,26,21,14
5,9,7,30,39,20,14,11
17,13,15,26,47,27,18,9
2,4,13,34,56,28,28,13
14,7,15,26,64,33,43,15
11,11,17,27,43,34,45,13
19,9,17,30,38,31,58,18
13,8,15,28,51,23,38,9
8,7,9,34,52,27,42,15
5,21,13,25,48,27,16,14
6,12,13,29,55,22,26,11
12,12,5,21,48,24,22,14
17,9,11,34,41,37,16,18
15,12,9,28,43,38,16,13
