electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
49,66,73,70,24,51,50,44
34,56,81,56,35,52,44,49
40,50,78,47,18,55,50,48
41,50,76,43,20,35,46,50
25,59,68,48,27,53,50,49
43,56,74,56,31,53,61,57
36,62,74,52,24,55,54,60
30,38,75,44,19,45,44,45
41,51,65,52,29,47,50,53
36,55,77,53,23,50,51,49
42,86,80,62,34,61,79,54
28,56,72,50,24,58,53,43
47,56,75,62,32,55,53,62
34,59,82,51,20,49,69,53
38,56,76,49,20,37,56,34
42,52,63,61,38,45,57,50
34,49,70,49,25,55,76,46
42,60,73,51,28,60,72,53
38,59,81,47,21,58,61,56
33,66,70,52,26,47,61,48
45,80,81,62,26,57,62,41
45,61,77,65,33,50,70,59
58,40,88,58,41,57,52,42
42,57,78,60,29,50,67,39
35,48,71,58,27,54,60,60
32,56,76,55,28,53,58,38
46,67,80,51,24,62,60,54
44,68,69,47,24,61,60,49
39,55,67,54,37,52,69,37
35,48,76,46,23,69,68,69
44,63,72,57,29,50,48,44
50,62,82,50,21,67,44,48
42,56,69,46,25,52,57,46
39,68,72,52,23,49,57,47
42,71,73,47,34,63,63,64
30,53,72,54,15,55,61,49
42,66,78,39,26,58,55,55
28,56,74,43,28,59,68,55
38,59,87,56,24,58,57,45
36,55,87,55,37,52,77,62
47,62,84,45,22,60,59,61
43,57,83,59,30,54,58,57
40,53,77,54,26,52,62,49
38,48,70,47,37,60,56,57
36,50,82,60,26,54,70,46
47,57,73,47,23,54,70,48
30,40,80,57,22,57,63,59
33,52,81,54,29,66,80,60
35,50,82,49,19,58,88,40
36,57,77,60,22,65,62,59
37,50,78,50,22,55,58,59
41,59,74,52,33,63,78,55
33,53,77,54,30,56,68,44
42,50,78,38,26,60,66,57
36,56,82,46,31,56,55,55
37,57,75,55,33,48,54,56
40,67,80,42,36,66,61,55
39,55,77,62,26,61,59,48
44,65,79,41,30,66,69,49
37,57,86,42,22,70,47,52
44,60,83,47,27,63,69,50
36,64,76,38,33,52,52,51
46,64,86,59,31,49,45,49
31,60,81,41,20,56,71,64
42,72,76,54,30,59,52,69
44,44,73,46,23,72,52,65
32,62,79,42,26,56,49,53
31,64,75,48,24,62,54,59
53,57,81,48,26,58,60,50
32,48,80,66,29,73,71,51
37,64,77,46,28,61,56,57
43,55,86,43,30,60,62,54
39,57,71,53,28,61,66,56
39,58,76,47,21,59,57,63
32,57,85,44,24,61,52,60
41,65,76,52,25,58,58,48
43,56,73,67,28,68,56,57
45,64,78,55,28,54,57,55
28,55,82,41,20,63,63,50
39,71,81,57,31,62,56,67
31,63,76,54,25,65,66,53
44,73,70,57,20,53,61,51
43,64,79,44,32,63,65,47
32,72,74,46,18,62,70,60
47,54,69,55,31,59,62,52
35,58,77,48,21,57,51,52
39,43,70,27,31,59,70,62
49,56,67,31,28,74,64,71
32,41,73,36,26,62,92,59
49,46,72,36,39,60,74,61
41,40,78,27,26,73,73,74
47,46,77,31,35,60,62,60
38,47,70,29,23,55,63,56
38,47,74,27,34,79,57,75
25,37,74,38,26,59,63,58
38,44,66,33,34,58,56,53
32,53,72,26,20,69,70,55
29,47,69,40,29,69,76,58
48,56,69,32,33,74,72,72
43,49,64,30,29,60,71,74
41,62,78,26,31,69,67,63
35,39,68,39,32,63,72,49
30,42,71,17,29,57,58,63
41,48,74,40,29,62,75,55
38,41,69,29,24,52,60,58
37,45,73,29,28,65,93,54
49,67,79,53,27,56,59,54
39,37,69,40,35,55,76,66
33,41,67,41,23,68,76,69
34,45,69,34,33,69,74,61
44,50,78,30,32,74,65,63
37,49,68,26,24,60,70,50
35,42,76,39,25,59,78,62
41,52,71,33,35,72,75,61
47,49,74,48,29,63,70,65
34,38,75,36,28,66,68,69
45,47,72,37,42,78,75,65
42,38,76,33,35,72,72,67
44,59,73,53,33,74,88,67
40,31,78,32,23,70,80,70
43,45,70,34,35,65,92,55
38,47,73,35,31,64,86,61
42,39,83,43,21,68,77,55
44,57,72,35,37,62,82,66
32,59,69,33,33,69,76,57
36,49,80,35,33,60,80,66
35,68,77,47,20,72,85,75
33,42,73,37,26,72,73,63
41,41,80,41,38,79,73,77
33,53,73,32,26,65,79,70
20,52,80,51,27,60,92,61
40,45,74,47,28,71,85,61
36,42,78,45,23,64,73,57
38,68,75,43,35,67,83,58
44,58,78,37,36,72,70,68
36,54,78,42,24,58,83,64
46,55,69,45,29,56,66,66
54,66,80,40,42,73,83,84
56,70,70,50,32,64,86,82
51,73,66,42,34,76,83,81
53,80,77,44,33,65,83,61
55,65,73,38,40,59,75,58
50,66,71,47,28,62,68,63
45,63,70,42,35,60,81,59
60,83,68,47,32,69,75,59
40,77,75,40,39,71,77,56
34,58,84,46,33,59,77,71
34,69,80,43,25,73,84,68
51,77,67,46,31,55,80,70
49,60,76,40,21,70,86,63
45,66,69,34,34,51,60,53
41,74,77,39,32,67,80,64
46,61,73,43,36,53,77,54
42,73,77,40,37,65,79,63
36,61,77,35,27,65,82,67
43,69,68,42,32,55,67,60
51,75,80,46,34,63,65,62
53,89,86,54,28,62,80,66
59,71,77,42,43,61,76,60
42,76,78,45,35,72,79,71
41,72,79,34,35,66,81,68
40,74,67,49,38,57,89,64
50,78,75,49,39,67,58,69
40,69,79,48,26,69,59,59
33,39,73,37,24,77,91,54
31,51,73,39,25,68,79,57
25,57,71,37,33,66,77,54
36,47,70,43,26,66,85,64
31,52,73,45,34,76,77,51
31,44,74,36,32,59,73,56
41,56,76,36,31,59,93,50
39,56,75,39,42,73,83,68
32,39,73,39,25,63,87,59
25,38,71,45,25,61,87,46
38,48,73,37,36,74,81,72
33,52,69,38,27,73,88,52
39,49,72,39,31,64,86,54
41,54,73,35,28,64,76,57
35,55,68,44,30,62,79,50
49,65,76,43,21,70,83,66
31,51,78,45,26,65,85,77
20,48,73,33,18,66,89,59
46,55,78,49,21,76,91,65
47,43,83,43,33,67,98,61
33,55,74,39,25,58,94,50
33,43,75,37,23,63,85,63
35,41,66,56,35,67,76,61
34,46,67,35,17,69,87,64
36,25,71,46,27,70,86,57
43,47,75,47,34,68,77,69
37,74,80,51,24,76,92,61
31,41,74,44,27,62,81,63
44,52,83,42,33,58,78,64
38,52,69,41,38,57,81,64
37,63,80,40,29,70,71,68
30,46,75,36,30,72,77,61
35,44,67,42,30,70,74,69
48,63,75,43,28,55,80,51
52,90,95,71,41,35,46,32
62,89,95,92,60,42,64,57
78,91,97,86,64,49,53,63
59,92,101,76,55,49,74,54
72,86,85,80,56,48,65,66
74,83,89,78,69,57,63,55
78,91,99,76,57,41,55,64
71,86,87,93,59,51,71,53
82,89,87,82,67,58,66,69
73,86,94,96,71,57,64,65
64,89,94,86,73,44,65,63
76,75,83,70,64,47,54,65
77,88,93,88,73,53,62,63
79,90,87,84,54,56,55,59
81,93,89,97,71,68,72,72
77,90,94,100,75,55,63,59
74,90,100,83,66,58,59,63
93,98,100,95,67,53,76,66
75,83,92,83,72,74,74,70
72,95,98,89,67,56,68,64
83,93,97,83,60,57,65,65
77,95,95,93,57,57,67,54
76,86,88,83,73,56,71,58
87,86,90,99,68,73,75,49
79,90,96,91,67,59,76,68
75,87,95,87,73,56,64,61
80,94,105,85,59,50,73,67
81,87,87,90,76,57,68,58
80,101,102,84,68,62,54,65
78,91,93,97,76,62,61,68
79,92,90,83,58,49,70,71
78,85,85,86,58,41,67,67
80,92,101,85,66,57,53,52
79,70,86,82,70,64,66,55
72,100,90,80,75,51,68,71
72,86,99,81,60,55,70,69
80,87,97,89,54,57,55,63
70,96,95,94,78,65,67,71
76,86,96,84,58,49,53,74
84,83,95,88,70,42,60,57
90,78,94,101,65,47,69,68
84,89,100,83,66,55,53,70
86,97,88,81,73,62,66,74
79,82,98,89,66,49,59,53
71,83,91,86,65,64,65,65
79,84,93,86,59,50,72,62
74,85,87,88,72,53,61,64
72,85,97,91,65,63,64,62
72,97,97,92,66,50,67,60
61,101,92,93,76,66,56,61
76,91,89,84,80,75,72,72
74,86,90,86,57,52,70,67
79,90,88,92,74,49,71,59
70,82,86,83,54,52,71,60
65,93,91,90,61,40,35,31
48,69,76,48,45,65,48,33
23,34,49,29,32,54,36,30
32,34,47,31,35,52,36,36
24,34,41,33,27,67,35,29
30,29,46,39,25,63,46,41
29,29,41,40,18,43,50,23
18,34,44,34,22,45,51,33
26,32,40,33,32,53,45,27
15,25,61,44,37,59,48,35
26,29,31,37,29,53,48,31
27,34,47,37,43,55,47,32
17,28,36,41,22,48,32,21
17,21,37,19,31,56,40,38
10,24,30,25,32,53,44,33
17,31,47,44,21,65,33,20
21,30,59,54,40,64,39,24
36,26,59,45,29,52,57,36
21,34,31,32,29,59,44,31
26,38,47,33,36,68,50,39
28,42,44,36,24,81,46,38
81,76,83,51,29,51,56,55
76,70,77,63,41,37,70,60
83,90,86,62,47,54,66,62
78,77,86,63,55,58,58,55
57,83,84,57,35,70,71,46
84,92,99,63,35,74,89,62
74,77,87,76,51,64,76,56
66,80,88,62,51,70,77,51
73,71,83,70,31,71,76,58
67,77,96,83,46,56,88,52
78,85,86,71,41,73,79,49
65,71,82,52,34,60,68,48
74,77,91,66,43,81,89,57
56,66,92,71,42,74,76,49
59,66,85,63,28,54,81,49
78,68,96,68,33,73,90,57
83,74,83,51,35,74,88,64
78,88,87,74,39,70,61,57
85,71,88,65,47,74,82,57
74,76,86,71,50,64,70,42
64,73,49,26,20,16,11,35
74,81,58,40,25,51,62,74
83,79,65,39,35,45,60,63
61,73,53,46,27,56,52,69
77,86,73,42,39,51,60,63
74,78,55,31,33,62,69,65
80,75,57,39,35,62,73,67
71,75,61,40,38,93,62,67
75,78,57,38,18,58,57,76
64,80,58,26,23,44,71,62
83,80,58,38,24,70,54,59
76,72,46,38,20,66,74,71
86,79,62,36,18,48,46,45
84,74,47,35,33,70,72,65
97,92,75,38,28,68,63,79
86,85,65,35,21,64,78,63
68,85,63,32,24,66,47,76
68,77,66,40,34,69,66,74
76,80,67,54,32,59,69,65
76,78,55,32,19,53,64,72
86,70,70,45,35,72,69,80
93,91,73,42,38,81,79,76
67,77,64,47,18,25,31,68
57,69,57,44,29,19,34,58
75,75,71,61,32,29,42,44
72,89,62,35,32,25,46,36
68,69,72,43,27,22,34,54
69,73,62,38,24,14,37,46
60,85,59,38,29,21,34,46
79,87,63,41,27,34,46,57
68,75,73,35,34,39,37,73
67,81,78,54,24,29,55,46
77,96,57,51,23,24,46,44
75,79,66,55,22,28,53,43
69,82,66,57,22,15,41,54
74,86,80,46,17,12,44,35
68,78,71,56,7,23,49,25
67,79,62,46,15,14,38,36
64,75,71,33,23,28,36,47
77,83,60,51,28,29,31,39
87,78,67,44,37,59,75,90
65,83,66,44,35,70,79,92
72,80,67,60,46,73,72,84
84,67,79,55,45,65,76,73
85,88,76,46,46,69,69,89
82,84,76,53,33,55,50,89
69,82,76,51,30,71,72,94
70,71,64,52,43,53,56,86
82,82,74,63,39,70,57,86
67,73,67,40,30,61,58,93
77,73,75,58,36,70,64,99
82,82,84,53,36,68,64,97
67,73,70,65,27,48,47,85
81,85,70,54,44,75,62,89
65,73,67,32,21,18,23,65
85,81,74,54,39,63,68,87
79,75,70,60,56,67,77,78
80,70,73,58,52,55,56,78
76,76,76,60,26,49,63,84
81,79,72,50,53,67,60,86
57,86,65,42,16,26,16,40
72,67,65,58,38,60,66,92
54,64,51,76,56,56,49,51
49,78,71,79,53,73,47,33
54,82,72,93,53,52,39,30
46,72,69,85,60,58,59,38
55,82,58,87,60,46,51,35
72,84,77,84,68,44,46,52
66,78,63,85,58,35,53,44
54,63,60,80,55,39,61,47
72,81,66,77,58,63,59,52
62,70,71,84,63,59,51,50
60,81,57,81,61,33,31,42
65,53,55,87,64,32,70,47
46,64,56,76,46,43,67,47
62,83,68,84,54,50,57,40
55,67,63,87,61,49,58,55
76,78,58,86,61,47,76,42
76,72,62,78,49,26,33,23
79,70,58,75,49,35,56,39
83,77,62,84,55,31,8,39
74,81,65,78,60,48,30,50
81,74,58,80,53,40,37,44
66,78,70,84,59,28,39,34
72,73,49,94,56,16,16,24
47,67,60,50,29,22,16,34
42,61,55,55,35,19,49,54
48,60,67,68,27,23,45,50
64,58,90,63,44,23,30,46
60,65,74,57,30,25,40,73
58,61,76,61,30,26,36,58
59,60,75,62,33,20,34,68
58,58,74,59,33,24,37,66
56,61,90,61,41,35,23,64
71,75,68,67,43,31,33,75
63,64,73,67,45,40,47,70
73,57,80,62,37,38,45,73
21,51,37,71,55,17,10,8
52,60,53,80,78,31,45,46
61,50,51,62,77,35,47,57
46,55,53,72,60,25,49,65
37,46,36,72,64,31,49,56
45,44,43,62,67,24,41,65
33,45,49,57,56,27,35,65
47,54,53,70,73,13,45,57
46,29,34,65,82,23,37,61
53,47,38,58,65,33,38,51
43,45,47,72,69,29,48,54
58,62,60,72,50,42,64,57
74,64,54,78,54,56,74,59
84,63,65,68,47,59,61,61
88,77,52,71,48,40,71,62
82,67,80,75,49,65,76,68
81,66,68,67,32,47,53,50
61,87,68,74,35,53,71,71
79,67,58,74,54,53,76,60
74,78,69,74,47,47,65,53
79,73,72,75,45,56,70,60
48,55,88,78,61,56,53,56
48,54,91,84,67,64,71,75
44,56,79,63,48,52,68,55
47,42,78,63,45,48,68,62
33,56,89,78,63,50,60,59
46,58,85,71,59,58,80,69
34,49,102,61,55,51,75,71
38,53,74,66,71,67,63,58
57,48,88,60,59,62,71,64
40,49,88,57,54,52,67,63
55,58,88,72,58,54,63,66
43,64,94,81,66,62,62,42
48,62,93,82,61,50,74,70
38,52,84,80,63,55,72,60
40,53,91,90,44,54,74,52
48,51,95,75,63,61,76,61
40,56,91,88,52,44,70,68
55,52,87,89,61,49,61,78
34,49,87,81,64,65,75,49
46,58,101,91,59,57,70,63
62,70,85,70,59,67,56,50
71,75,82,62,57,58,52,64
82,81,92,81,62,70,60,56
56,72,86,60,60,75,34,33
67,79,88,72,64,73,66,68
56,70,84,70,65,46,37,35
82,66,85,76,62,56,72,51
85,78,79,81,55,69,77,69
82,78,98,80,71,67,82,67
71,77,87,64,52,72,68,49
67,74,84,73,69,81,53,60
70,71,87,71,68,77,60,46
51,50,79,41,22,19,15,23
74,52,84,78,55,50,64,69
70,48,93,89,65,47,67,78
68,60,90,72,45,46,48,48
61,48,83,67,49,49,62,57
56,63,90,73,46,43,64,54
69,64,85,67,43,38,54,53
68,58,92,67,34,43,56,65
68,66,93,72,61,38,57,50
53,61,94,65,37,44,54,58
74,59,91,63,52,47,51,68
71,90,102,86,56,70,69,64
79,92,87,81,56,52,64,72
76,96,92,77,70,56,69,69
85,77,82,82,51,62,68,61
74,94,85,66,57,55,80,73
72,89,90,73,60,63,64,73
82,77,90,70,71,64,71,76
81,87,89,68,60,66,84,64
84,92,84,83,53,60,66,68
83,88,89,75,54,48,75,72
