electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
0,2,5,0,0,47,0,0
32,66,46,53,20,66,19,12
41,70,51,66,37,64,35,26
0,0,4,19,3,63,0,0
29,85,22,6,7,74,27,6
44,100,40,24,10,38,8,3
37,98,48,16,1,36,4,4
44,88,30,8,8,56,9,6
51,99,41,19,8,31,7,5
47,94,45,36,18,5,10,14
59,92,42,21,8,18,5,9
35,70,31,12,14,56,17,6
31,44,29,14,5,32,5,3
32,62,28,10,8,53,14,4
32,68,54,17,3,0,1,3
26,30,10,3,6,70,20,3
27,48,22,9,5,55,9,3
46,89,32,14,2,0,1,1
45,90,42,15,8,2,0,1
33,72,55,15,2,0,0,3
30,41,40,24,8,5,0,9
13,22,24,8,3,80,12,1
25,38,37,19,5,42,1,2
20,44,53,14,5,0,0,2
18,95,52,32,8,23,6,0
37,99,53,30,3,19,3,2
38,108,56,30,1,13,0,5
34,100,56,35,8,3,1,4
28,98,63,32,1,13,4,1
28,110,57,26,3,14,1,0
38,90,77,33,5,17,1,6
22,97,56,34,9,15,6,4
34,94,56,26,3,16,6,6
20,99,65,39,1,1,0,2
27,97,43,27,7,16,1,2
46,120,44,30,12,42,20,11
39,106,54,32,7,45,16,9
41,105,56,25,9,36,4,2
29,106,62,27,0,39,6,1
27,100,54,23,5,15,4,0
22,105,63,30,7,0,0,1
50,87,78,46,18,36,11,14
33,95,70,63,15,27,1,7
27,114,70,42,14,27,5,6
41,74,70,38,33,15,6,10
49,75,53,21,17,11,10,18
51,71,73,37,24,9,4,17
40,82,75,44,29,13,14,17
48,74,68,30,27,14,12,19
46,89,66,28,24,16,16,15
47,89,58,46,28,11,12,23
48,80,76,48,35,11,5,13
67,100,78,57,36,28,11,27
79,91,74,35,23,9,10,31
57,93,65,39,28,18,15,17
55,93,61,45,24,11,6,21
85,110,84,31,27,11,15,30
84,104,83,62,37,63,38,32
45,58,53,41,24,9,6,8
