electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
5,8,9,3,10,77,58,9
10,8,2,0,5,79,59,16
10,10,6,4,6,52,44,20
11,12,0,0,8,79,65,15
16,6,4,6,8,65,58,15
7,8,0,1,5,82,68,11
11,9,1,3,8,52,55,20
6,7,6,4,10,77,66,16
4,1,2,2,3,62,53,16
8,12,2,2,7,61,63,17
14,17,12,4,12,79,80,13
8,17,9,4,10,65,73,19
4,5,1,1,6,63,58,19
11,17,2,1,13,66,53,16
10,9,6,0,10,65,53,21
11,12,6,6,13,60,54,19
20,21,6,4,7,61,47,17
9,17,5,2,8,74,54,20
9,24,6,5,13,71,62,20
13,13,8,3,8,59,50,16
2,4,3,2,8,59,55,10
9,7,3,5,18,63,55,16
15,12,4,1,8,55,59,13
7,7,2,2,10,56,57,17
6,3,2,2,15,60,54,11
4,5,1,1,9,57,47,13
21,17,13,7,14,71,57,20
13,17,4,2,6,53,45,16
6,15,3,0,2,53,51,14
6,12,4,0,0,61,60,11
8,11,1,0,4,61,54,10
11,12,4,3,5,55,44,11
11,12,2,2,3,50,54,17
13,12,7,5,13,83,70,20
12,10,0,1,11,50,49,17
12,7,6,5,12,49,44,10
37,93,81,34,14,58,90,42
16,63,58,24,4,41,100,25
20,69,43,29,4,48,83,27
23,66,38,21,2,53,97,32
19,62,55,23,3,46,95,33
28,66,61,23,8,66,103,34
20,76,50,13,7,44,112,29
25,69,51,19,8,49,115,35
19,71,59,16,8,58,94,26
27,76,60,20,2,46,107,27
16,85,53,19,5,57,112,28
26,66,57,26,4,49,108,36
18,66,57,22,1,49,111,26
12,73,60,16,10,57,120,36
27,79,57,16,2,53,107,32
15,62,48,12,1,50,109,26
13,74,64,21,3,54,114,34
20,70,46,16,7,58,104,35
13,63,49,19,6,54,127,28
12,65,60,11,10,52,107,30
17,64,68,16,3,61,126,25
16,71,63,6,3,60,113,33
16,87,54,20,4,44,109,29
13,77,63,14,2,53,108,24
10,60,53,24,4,50,119,31
12,67,56,11,3,46,98,24
15,70,59,16,7,47,109,30
29,84,66,19,8,59,113,23
12,69,57,15,5,69,103,31
13,63,56,17,0,52,117,21
13,62,47,10,5,48,117,30
9,73,51,12,3,56,128,29
19,65,48,16,8,48,102,28
10,46,61,15,4,59,109,32
5,60,47,14,7,48,104,30
8,52,72,7,3,58,116,31
7,59,58,19,9,63,89,41
10,58,49,14,6,56,113,34
14,63,51,19,7,68,110,34
7,51,60,17,11,48,111,29
8,58,52,9,8,45,91,30
8,53,45,12,16,44,74,34
16,47,49,21,3,44,95,27
6,51,56,17,1,46,104,21
18,52,55,18,13,54,92,36
27,66,51,12,6,52,96,31
20,90,49,17,4,43,113,37
27,89,52,13,1,49,111,29
13,72,68,5,2,53,112,32
21,74,60,5,4,48,113,30
22,67,55,17,8,57,114,31
14,88,57,11,3,65,109,33
10,64,62,14,8,64,106,34
20,97,44,6,2,45,105,35
14,70,63,10,8,55,108,37
11,68,58,8,3,45,112,24
16,55,50,15,4,48,113,37
7,60,56,7,3,54,117,25
16,67,65,17,4,51,105,34
8,75,38,12,0,51,115,13
27,61,59,9,22,77,115,52
10,24,47,13,18,87,114,43
17,49,42,5,18,77,127,41
26,63,57,15,16,92,124,48
41,61,59,13,22,81,128,56
30,68,62,11,12,74,122,45
28,65,54,13,19,76,123,50
34,63,64,24,33,78,112,51
34,69,69,26,20,73,121,54
32,72,56,14,17,79,119,52
33,61,54,12,23,83,115,49
14,43,59,12,18,67,105,45
36,63,50,14,24,76,96,46
36,79,57,19,18,81,125,72
19,46,65,12,15,82,117,41
30,50,68,24,26,81,110,53
27,72,67,10,30,82,122,63
22,59,69,12,13,80,123,56
14,60,68,4,7,82,123,41
26,58,62,18,21,85,122,55
23,56,59,11,21,85,125,57
18,41,57,16,22,70,124,45
19,46,60,22,13,84,125,55
20,37,64,12,15,84,128,53
34,70,66,15,22,82,135,64
28,58,70,24,18,84,116,49
26,58,60,12,22,72,115,57
48,75,65,21,30,85,120,63
35,58,55,14,21,82,119,46
20,36,58,9,10,87,121,58
26,68,69,23,17,85,129,59
17,34,52,14,30,90,126,62
28,54,47,20,29,101,125,71
19,46,61,14,23,81,127,62
29,69,56,12,37,103,133,74
20,77,48,15,22,91,142,68
29,60,66,16,21,91,120,60
36,55,73,19,28,89,123,62
21,50,59,16,21,83,118,55
32,44,58,15,23,69,110,54
23,56,73,11,26,78,115,53
38,71,75,24,29,87,112,58
26,59,88,16,26,78,131,60
24,66,67,17,16,85,117,49
28,59,66,13,16,80,126,46
40,69,65,19,29,87,114,56
47,80,58,16,24,83,121,60
30,65,66,16,13,67,116,51
38,87,82,12,20,96,128,52
31,53,87,16,33,78,125,63
3,96,131,90,6,1,0,0
51,128,119,93,24,68,97,57
58,120,123,95,31,58,93,46
47,122,130,95,25,54,72,46
67,132,124,88,22,55,73,48
62,124,135,97,44,69,80,57
53,121,131,82,37,70,90,54
51,120,128,89,31,61,85,54
70,132,131,90,27,71,95,55
67,128,134,102,36,65,87,54
60,126,126,105,37,79,81,55
65,127,133,88,42,72,80,57
47,120,129,102,39,58,75,48
70,127,124,95,38,58,98,53
57,118,128,84,30,68,79,60
54,113,119,96,31,64,88,53
55,122,125,101,35,61,91,59
56,114,127,78,31,62,94,53
62,115,132,86,31,66,92,53
66,140,129,84,41,67,92,52
59,120,122,70,27,74,103,57
61,120,123,88,21,66,92,64
67,133,117,93,16,63,91,50
62,126,133,85,25,67,82,57
53,125,123,80,22,65,97,53
57,118,123,77,18,58,82,55
