electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
8,50,90,55,10,8,13,24
7,56,99,58,18,26,13,19
14,52,103,34,4,0,11,59
21,81,111,55,10,1,12,56
13,53,92,41,23,10,17,22
13,76,93,31,8,5,8,32
16,77,102,33,4,0,9,54
9,48,86,39,9,2,16,64
8,44,111,30,7,0,8,56
3,67,103,43,15,5,12,37
7,69,83,24,8,8,14,28
10,73,93,49,4,5,10,44
7,71,118,40,10,0,1,5
12,90,125,25,8,24,8,56
7,78,106,27,1,11,19,57
14,88,123,44,11,11,16,67
6,67,104,37,6,0,12,56
20,103,106,28,16,39,39,34
9,109,104,16,5,32,33,23
21,112,110,15,15,38,35,38
12,113,103,12,12,56,39,28
20,114,89,20,10,49,33,29
16,105,86,16,12,49,43,40
29,107,84,25,28,54,44,46
18,114,98,20,19,49,35,29
24,116,101,25,20,49,45,33
14,110,97,18,14,47,42,31
45,110,93,32,32,64,58,74
43,105,99,44,21,34,40,26
56,88,112,40,16,36,55,44
40,93,103,30,6,27,42,33
35,70,108,38,11,28,34,44
43,73,93,32,13,29,47,31
16,74,106,45,9,27,42,34
40,71,101,38,17,39,41,41
47,92,100,51,15,25,40,37
45,52,106,63,12,32,44,35
25,54,116,52,9,0,0,1
0,23,90,72,1,0,0,0
33,66,91,67,29,45,42,37
33,67,92,78,19,39,46,30
26,40,103,60,23,46,49,34
20,47,97,59,17,35,36,26
12,44,80,38,10,36,36,22
15,46,85,58,22,32,34,27
18,41,87,58,15,37,46,35
27,47,93,49,23,31,38,27
27,56,74,55,28,47,51,40
16,51,81,62,15,49,44,30
