electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
7,42,28,9,28,52,39,7
18,58,39,10,31,58,38,11
8,54,63,19,23,50,32,13
11,42,37,7,25,60,41,7
7,49,50,8,21,51,39,6
13,28,57,16,35,67,48,13
9,63,41,6,31,64,36,10
7,55,47,13,34,51,36,9
11,50,53,8,29,67,45,5
16,63,45,15,29,50,29,10
15,57,46,7,37,60,40,14
17,68,53,15,43,59,51,16
4,65,46,14,34,60,49,8
9,59,37,11,30,66,44,11
12,50,41,17,41,67,43,8
6,62,33,14,26,67,33,9
7,56,38,14,26,59,43,8
9,50,22,12,28,70,50,11
17,65,40,11,33,62,38,18
15,57,44,12,32,49,33,14
17,52,45,16,34,53,37,16
15,41,29,13,29,65,44,11
15,68,39,19,21,50,32,6
19,72,60,20,34,57,43,15
11,66,63,24,32,69,44,9
14,65,56,10,44,70,48,13
14,59,47,21,26,63,37,13
21,63,49,20,30,54,41,10
11,56,46,22,27,56,45,14
17,53,44,15,46,71,51,8
16,65,39,11,37,64,50,10
15,56,37,15,35,67,39,11
10,68,59,22,31,62,39,16
12,72,46,16,37,59,48,12
13,52,52,16,27,63,53,14
21,82,47,15,35,67,47,8
15,78,45,22,38,63,45,14
29,86,48,13,32,57,56,24
15,46,45,18,33,58,47,15
14,48,33,4,40,75,43,16
26,58,24,11,43,72,59,20
21,67,32,6,33,76,55,23
18,67,42,14,37,63,44,18
16,49,34,13,32,64,43,15
25,54,30,10,37,74,42,18
16,49,34,10,28,67,52,15
9,48,30,1,21,56,44,13
16,49,30,6,51,87,57,17
19,58,49,22,42,65,50,22
16,48,35,14,36,62,39,18
14,52,45,14,41,66,45,19
21,46,26,14,43,74,49,19
13,39,43,17,40,56,45,16
27,51,38,9,35,60,47,21
22,47,20,7,33,55,45,17
20,41,30,13,28,59,35,14
20,43,26,12,36,63,44,24
19,49,43,14,33,66,62,17
16,41,41,12,27,64,45,14
10,39,47,30,32,53,46,13
19,45,44,15,32,63,39,16
27,46,43,21,37,60,45,13
18,39,22,12,42,71,42,21
25,53,43,25,35,62,35,19
14,50,23,28,26,39,39,17
26,55,37,14,42,53,38,25
16,54,50,28,32,54,48,13
11,49,45,16,28,57,47,5
15,69,51,26,38,58,49,15
12,60,47,10,30,62,52,11
14,47,37,15,29,64,53,14
15,65,38,11,29,63,47,15
22,52,45,9,39,74,61,15
26,80,55,23,43,78,50,25
12,59,44,17,31,59,46,12
25,59,48,24,38,58,46,17
17,50,50,14,34,67,49,26
13,50,36,14,29,59,42,11
23,82,45,13,31,58,46,11
24,64,38,17,36,65,30,12
28,62,39,22,35,59,53,24
